Set1;Set2
[1,1,1,1,1,1,1,1,5,5,7];[1,1,1,1,1,1,1,1,17]
[1,1,1,1,1,1,5,7,7];[1,1,1,1,1,1,19]
[1,1,1,1,3,3,3,3,3,3,3];[1,1,1,1,3,3,3,3,9]
[1,1,1,1,3,7,11];[1,1,1,1,3,9,9]
[1,1,3,3,3,3,11];[1,1,3,3,3,5,9]
[1,1,3,3,3,7,7];[1,1,3,3,5,5,7]
[1,1,3,5,15];[1,1,3,7,13]
[1,3,3,3,3,3,3,3,3];[1,3,3,3,3,3,9]
[1,3,5,5,11];[1,3,5,7,9]
[1,5,5,5,9];[1,5,5,7,7]
[3,7,15];[3,9,13]
[3,11,11];[5,5,5,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,1,3,7,9];[1,1,1,1,1,1,1,5,5,9]
[1,1,1,1,1,7,7,7];[1,1,1,1,1,21]
[1,1,1,1,3,3,3,3,3,7];[1,1,1,1,3,3,3,3,5,5]
[1,1,1,1,5,5,5,7];[1,1,1,1,5,17]
[1,1,3,3,3,3,5,7];[1,1,3,3,3,5,5,5]
[1,1,3,3,3,15];[1,1,3,3,5,13]
[1,1,3,3,7,11];[1,1,3,3,9,9]
[1,3,3,3,7,9];[1,3,3,5,5,9]
[1,3,11,11];[1,5,5,5,5,5]
[3,3,3,3,5,9];[3,3,3,3,7,7]
[3,3,3,5,5,7];[3,3,3,17]
[3,5,9,9];[3,7,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,1,1,1,3,5,9];[1,1,1,1,1,1,1,1,1,1,3,7,7]
[1,1,1,1,1,1,1,1,1,3,3,5,7];[1,1,1,1,1,1,1,1,1,3,5,5,5]
[1,1,1,1,1,1,1,1,3,3,3,3,7];[1,1,1,1,1,1,1,1,3,3,3,5,5]
[1,1,1,1,1,1,1,3,3,5,9];[1,1,1,1,1,1,1,3,3,7,7]
[1,1,1,1,1,1,1,3,5,5,7];[1,1,1,1,1,1,1,3,17]
[1,1,1,1,1,1,1,7,13];[1,1,1,1,1,1,1,9,11]
[1,1,1,1,1,1,3,3,15];[1,1,1,1,1,1,3,5,13]
[1,1,1,1,1,3,3,3,3,3,7];[1,1,1,1,1,3,3,3,3,5,5]
[1,1,1,1,1,3,3,3,13];[1,1,1,1,1,3,3,5,11]
[1,1,1,1,1,11,11];[1,1,1,1,3,3,3,3,3,3,5]
[1,1,1,1,3,3,3,3,11];[1,1,1,1,3,3,3,5,9]
[1,1,1,3,7,7,7];[1,1,1,3,21]
[1,1,3,3,3,3,3,3,7];[1,1,3,3,3,3,3,5,5]
[1,1,3,3,3,7,9];[1,1,3,3,5,5,9]
[1,1,3,3,5,7,7];[1,1,3,3,19]
[1,1,3,11,11];[1,1,5,5,5,5,5]
[1,1,5,5,15];[1,1,5,7,13]
[1,3,3,3,3,3,3,3,5];[1,3,3,3,3,3,11]
[1,3,3,5,5,5,5];[1,3,3,5,15]
[1,3,3,7,13];[1,3,3,9,11]
[3,3,3,3,3,3,9];[3,3,3,3,3,5,7]
[3,3,3,3,5,5,5];[3,3,3,3,15]
[3,3,3,5,13];[3,3,3,7,11]
[3,3,21];[3,5,5,5,9]
[3,7,17];[3,9,15]
[5,9,13];[5,11,11]
[7,7,13];[7,9,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,3,13]
[1,1,1,1,1,1,1,1,1,1,7,11];[1,1,1,1,1,1,1,1,1,1,9,9]
[1,1,1,1,1,1,1,1,1,3,7,9];[1,1,1,1,1,1,1,1,1,5,5,9]
[1,1,1,1,1,1,1,1,3,3,3,3,3,5];[1,1,1,1,1,1,1,1,3,3,3,11]
[1,1,1,1,1,1,1,1,3,3,5,9];[1,1,1,1,1,1,1,1,3,3,7,7]
[1,1,1,1,1,1,1,3,7,11];[1,1,1,1,1,1,1,3,9,9]
[1,1,1,1,1,1,1,5,5,11];[1,1,1,1,1,1,1,5,7,9]
[1,1,1,1,1,1,11,11];[1,1,1,1,1,3,3,3,3,3,3,5]
[1,1,1,1,1,3,3,3,3,11];[1,1,1,1,1,3,3,3,5,9]
[1,1,1,1,1,3,3,3,7,7];[1,1,1,1,1,3,3,5,5,7]
[1,1,1,1,1,3,3,17];[1,1,1,1,1,3,5,5,5,5]
[1,1,1,1,1,5,7,11];[1,1,1,1,1,5,9,9]
[1,1,1,1,3,3,3,3,3,3,3,3];[1,1,1,1,3,3,3,3,3,9]
[1,1,1,1,3,3,3,15];[1,1,1,1,3,3,5,13]
[1,1,1,1,9,15];[1,1,1,1,11,13]
[1,1,1,3,3,3,3,13];[1,1,1,3,3,3,5,11]
[1,1,1,3,3,3,7,9];[1,1,1,3,3,5,5,9]
[1,1,1,3,7,15];[1,1,1,3,9,13]
[1,1,1,7,9,9];[1,1,1,25]
[1,1,3,3,5,5,5,5];[1,1,3,3,5,15]
[1,1,3,5,9,9];[1,1,3,7,7,9]
[1,1,9,17];[1,1,11,15]
[1,1,13,13];[1,3,3,3,3,3,3,3,3,3]
[1,3,3,3,3,3,3,9];[1,3,3,3,3,3,5,7]
[1,3,7,17];[1,3,9,15]
[1,3,11,13];[1,5,5,5,5,7]
[1,5,9,13];[1,5,11,11]
[1,9,9,9];[1,27]
[3,3,3,3,3,3,3,7];[3,3,3,3,3,3,5,5]
[3,3,5,5,5,7];[3,3,5,17]
[3,5,9,11];[3,7,7,11]
[5,23];[7,7,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,13]
[1,1,1,1,1,1,1,1,1,1,1,3,15];[1,1,1,1,1,1,1,1,1,1,1,5,13]
[1,1,1,1,1,1,1,1,1,1,1,7,11];[1,1,1,1,1,1,1,1,1,1,1,9,9]
[1,1,1,1,1,1,1,1,3,3,15];[1,1,1,1,1,1,1,1,3,5,13]
[1,1,1,1,1,1,1,3,3,7,9];[1,1,1,1,1,1,1,3,5,5,9]
[1,1,1,1,1,1,7,7,9];[1,1,1,1,1,1,23]
[1,1,1,1,1,3,7,7,7];[1,1,1,1,1,3,21]
[1,1,1,1,3,3,3,7,9];[1,1,1,1,3,3,5,5,9]
[1,1,1,1,3,5,5,5,7];[1,1,1,1,3,5,17]
[1,1,1,1,3,11,11];[1,1,1,1,5,5,5,5,5]
[1,1,1,1,5,9,11];[1,1,1,1,7,7,11]
[1,1,1,5,5,7,9];[1,1,1,5,7,7,7]
[1,1,3,3,21];[1,1,3,5,5,5,9]
[1,1,3,11,13];[1,1,5,5,5,5,7]
[1,1,9,9,9];[1,1,27]
[1,3,3,3,3,7,9];[1,3,3,3,5,5,9]
[1,3,3,5,5,5,7];[1,3,3,5,17]
[1,3,3,7,15];[1,3,3,9,13]
[1,3,5,9,11];[1,3,7,7,11]
[3,3,3,5,5,5,5];[3,3,3,5,15]
[3,3,23];[3,5,5,5,11]
[5,5,5,7,7];[5,5,19]
[5,7,17];[5,9,15]
[7,9,13];[7,11,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5]
[1,1,1,1,1,1,1,1,1,1,3,3,5,9];[1,1,1,1,1,1,1,1,1,1,3,3,7,7]
[1,1,1,1,1,1,1,1,1,5,5,11];[1,1,1,1,1,1,1,1,1,5,7,9]
[1,1,1,1,1,1,1,1,1,7,7,7];[1,1,1,1,1,1,1,1,1,21]
[1,1,1,1,1,1,1,1,3,3,7,9];[1,1,1,1,1,1,1,1,3,5,5,9]
[1,1,1,1,1,1,1,3,3,3,3,11];[1,1,1,1,1,1,1,3,3,3,5,9]
[1,1,1,1,1,1,1,7,7,9];[1,1,1,1,1,1,1,23]
[1,1,1,1,1,1,3,3,3,3,3,3,3,3];[1,1,1,1,1,1,3,3,3,3,3,9]
[1,1,1,1,1,1,3,5,5,11];[1,1,1,1,1,1,3,5,7,9]
[1,1,1,1,1,1,5,19];[1,1,1,1,1,1,7,17]
[1,1,1,1,3,3,5,5,5,5];[1,1,1,1,3,3,5,15]
[1,1,1,1,3,23];[1,1,1,1,5,5,5,11]
[1,1,1,3,3,3,5,13];[1,1,1,3,3,3,7,11]
[1,1,1,3,3,5,7,9];[1,1,1,3,3,7,7,7]
[1,1,1,3,3,21];[1,1,1,3,5,5,5,9]
[1,1,1,9,9,9];[1,1,1,27]
[1,1,3,3,3,5,7,7];[1,1,3,3,3,19]
[1,1,3,3,7,15];[1,1,3,3,9,13]
[1,1,3,3,11,11];[1,1,3,5,5,5,5,5]
[1,1,3,5,5,15];[1,1,3,5,7,13]
[1,1,3,5,9,11];[1,1,3,7,7,11]
[1,1,5,5,9,9];[1,1,5,7,7,9]
[1,3,3,3,3,3,5,9];[1,3,3,3,3,3,7,7]
[1,3,3,3,7,13];[1,3,3,3,9,11]
[1,3,3,5,5,13];[1,3,3,5,7,11]
[1,3,3,5,9,9];[1,3,3,7,7,9]
[1,3,5,5,7,9];[1,3,5,7,7,7]
[1,5,11,13];[1,7,7,15]
[3,3,3,7,7,7];[3,3,3,21]
[3,3,5,5,5,9];[3,3,5,5,7,7]
[3,7,9,11];[3,9,9,9]
[5,7,9,9];[5,25]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5]
[1,1,1,1,1,1,1,1,1,1,1,7,13];[1,1,1,1,1,1,1,1,1,1,1,9,11]
[1,1,1,1,1,1,1,1,1,1,3,3,3,5,7];[1,1,1,1,1,1,1,1,1,1,3,3,5,5,5]
[1,1,1,1,1,1,1,1,1,1,5,5,11];[1,1,1,1,1,1,1,1,1,1,5,7,9]
[1,1,1,1,1,1,1,1,1,3,5,7,7];[1,1,1,1,1,1,1,1,1,3,19]
[1,1,1,1,1,1,1,1,3,3,3,7,7];[1,1,1,1,1,1,1,1,3,3,5,5,7]
[1,1,1,1,1,1,1,1,3,5,15];[1,1,1,1,1,1,1,1,3,7,13]
[1,1,1,1,1,1,1,3,3,3,3,5,7];[1,1,1,1,1,1,1,3,3,3,5,5,5]
[1,1,1,1,1,1,1,9,15];[1,1,1,1,1,1,1,11,13]
[1,1,1,1,1,1,3,3,3,3,3,3,7];[1,1,1,1,1,1,3,3,3,3,3,5,5]
[1,1,1,1,1,1,3,5,5,5,7];[1,1,1,1,1,1,3,5,17]
[1,1,1,1,1,1,5,9,11];[1,1,1,1,1,1,7,7,11]
[1,1,1,1,1,3,3,3,5,5,7];[1,1,1,1,1,3,3,3,17]
[1,1,1,1,3,3,3,5,13];[1,1,1,1,3,3,3,7,11]
[1,1,1,1,3,7,17];[1,1,1,1,3,9,15]
[1,1,1,1,7,7,13];[1,1,1,1,7,9,11]
[1,1,1,1,9,9,9];[1,1,1,1,27]
[1,1,1,3,3,7,15];[1,1,1,3,3,9,13]
[1,1,1,3,5,5,15];[1,1,1,3,5,7,13]
[1,1,1,5,5,5,13];[1,1,1,5,5,7,11]
[1,1,1,5,23];[1,1,1,7,7,7,7]
[1,1,1,7,21];[1,1,1,9,19]
[1,1,3,3,3,3,3,5,9];[1,1,3,3,3,3,3,7,7]
[1,1,3,3,23];[1,1,3,5,5,5,11]
[1,1,3,5,21];[1,1,3,7,19]
[1,1,3,9,17];[1,1,3,11,15]
[1,1,3,13,13];[1,1,5,5,5,5,9]
[1,1,5,7,17];[1,1,5,9,15]
[1,1,9,9,11];[1,1,29]
[1,3,3,3,3,3,15];[1,3,3,3,3,5,13]
[1,3,3,3,3,7,11];[1,3,3,3,3,9,9]
[1,3,3,5,5,5,9];[1,3,3,5,5,7,7]
[1,3,3,9,15];[1,3,3,11,13]
[1,3,7,9,11];[1,3,9,9,9]
[1,3,27];[1,5,5,5,5,5,5]
[1,5,5,5,15];[1,5,5,7,13]
[1,13,17];[1,15,15]
[3,3,3,3,3,3,3,3,7];[3,3,3,3,3,3,3,5,5]
[3,3,3,3,3,7,9];[3,3,3,3,5,5,9]
[3,3,3,3,5,7,7];[3,3,3,3,19]
[3,3,3,7,15];[3,3,3,9,13]
[3,3,3,11,11];[3,3,5,5,5,5,5]
[3,5,5,9,9];[3,5,7,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,19]
[1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,5,15]
[1,1,1,1,1,1,1,1,1,1,1,1,7,13];[1,1,1,1,1,1,1,1,1,1,1,1,9,11]
[1,1,1,1,1,1,1,1,1,1,1,7,7,7];[1,1,1,1,1,1,1,1,1,1,1,21]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,7];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5]
[1,1,1,1,1,1,1,1,1,1,11,11];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5]
[1,1,1,1,1,1,1,1,1,3,3,17];[1,1,1,1,1,1,1,1,1,3,5,5,5,5]
[1,1,1,1,1,1,1,1,1,3,5,15];[1,1,1,1,1,1,1,1,1,3,7,13]
[1,1,1,1,1,1,1,1,1,7,7,9];[1,1,1,1,1,1,1,1,1,23]
[1,1,1,1,1,1,1,1,3,3,3,3,5,7];[1,1,1,1,1,1,1,1,3,3,3,5,5,5]
[1,1,1,1,1,1,3,3,3,5,5,7];[1,1,1,1,1,1,3,3,3,17]
[1,1,1,1,1,1,3,3,7,13];[1,1,1,1,1,1,3,3,9,11]
[1,1,1,1,1,1,5,5,7,9];[1,1,1,1,1,1,5,7,7,7]
[1,1,1,1,1,3,3,3,9,9];[1,1,1,1,1,3,3,5,5,11]
[1,1,1,1,1,5,5,17];[1,1,1,1,1,5,7,15]
[1,1,1,1,1,5,9,13];[1,1,1,1,1,5,11,11]
[1,1,1,1,1,7,7,13];[1,1,1,1,1,7,9,11]
[1,1,1,1,3,3,3,3,3,3,3,7];[1,1,1,1,3,3,3,3,3,3,5,5]
[1,1,1,1,3,3,3,5,7,7];[1,1,1,1,3,3,3,19]
[1,1,1,1,3,3,11,11];[1,1,1,1,3,5,5,5,5,5]
[1,1,1,1,3,7,9,9];[1,1,1,1,3,25]
[1,1,1,1,11,17];[1,1,1,1,13,15]
[1,1,1,3,13,13];[1,1,1,5,5,5,5,9]
[1,1,3,3,3,3,3,3,5,7];[1,1,3,3,3,3,3,5,5,5]
[1,1,3,3,3,5,5,11];[1,1,3,3,3,5,7,9]
[1,1,3,5,5,5,5,7];[1,1,3,5,5,17]
[1,1,3,5,7,15];[1,1,3,5,9,13]
[1,1,3,5,11,11];[1,1,3,7,7,13]
[1,1,5,5,9,11];[1,1,5,7,7,11]
[1,1,5,7,9,9];[1,1,5,25]
[1,3,3,3,3,3,3,3,3,7];[1,3,3,3,3,3,3,3,5,5]
[1,3,3,3,3,5,7,7];[1,3,3,3,3,19]
[1,3,3,3,5,5,5,7];[1,3,3,3,5,17]
[1,3,3,7,9,9];[1,3,3,25]
[1,3,5,5,5,13];[1,3,5,5,7,11]
[1,5,7,19];[1,5,9,17]
[3,3,3,3,3,5,5,7];[3,3,3,3,3,17]
[3,3,3,5,5,13];[3,3,3,5,7,11]
[3,3,5,5,7,9];[3,3,5,7,7,7]
[3,3,5,21];[3,3,7,19]
[3,3,9,17];[3,3,11,15]
[3,5,5,5,7,7];[3,5,5,19]
[3,5,7,17];[3,5,9,15]
[13,19];[15,17]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,15]
[1,1,1,1,1,1,1,1,1,1,1,1,1,7,13];[1,1,1,1,1,1,1,1,1,1,1,1,1,9,11]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,7];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5]
